input,bandwidth
1024,6
1024,6
1024,6
1024,6
1024,6
221184,1415
221184,1415
221184,1415
221184,1415
221184,1415
1000000,4000
1000000,4000
1000000,4000
1000000,4000
1000000,4000
10000000,4776
10000000,4776
10000000,4776
10000000,4776
10000000,4705
100003565,5263
100003565,5263
100003565,5263
100003565,5263
100003565,5263
1024,10
1024,10
1024,10
1024,10
1024,10
221184,2359
221184,2359
221184,2359
221184,2359
221184,2359
1000000,4000
1000000,4000
1000000,4000
1000000,4000
1000000,4000
10000000,4776
10000000,4776
10000000,4776
10000000,4776
10000000,4776
100003565,5263
100003565,5263
100003565,5263
100003565,5254
100003565,5254
